"","X","crop","D_R2","D_AIC","a","b","c","OVR","a_model","b_model","c_model","OVR_model"
"1","a","apple",-0.0537934260825433,43.6899622701462,1.43984622790639,5.83170051167642,3.39145007922702,0.879042615369121,6.15,10,0.557354096024746,5.26103579665489
"2","a1","strawberry",-0.000975307202784048,0.178303324641547,29.8588225225757,184.488828927409,0.115029253427961,22.9600040073461,18.5714285714286,350,0.354171813720614,7.8783465855933
"3","a2","lima bean",0.0005923534918965,-0.123698060737524,20.2115578315181,2.13734256872284,0.0827005710451978,33.4936108849453,42.8571428571429,7,1.89711998488588,1.2841130266018
"4","a3","SHighbushBlueberry",-0.0298120318904483,66.1717727658052,24.8086607918732,1.47947280746583,0.371298531127725,7.30032013202869,6.60377358490566,106,0.102745158291843,28.4919803350862
"5","a5","NHighbushBlueberry",-0.00602372303254933,0.403990811534001,75.3402264893202,1.08067423996248,0.834035034917793,1.91327142622425,NA,NA,NA,NA
"6","a6","Rabbiteye.Blueberry",-0.00602372303254933,2.6126073636774,43.1773019578059,2.64837105075852,0.199907345672853,12.1581222476198,NA,NA,NA,NA
"7","a7","Watermelon",-0.00297348031298578,7.09092278525918,12.4005433113497,285.977222225884,0.0784916759152688,36.4794973468983,0,400,0.668454567969574,4.48157947765023
