Study,Crop,Pollinator,Number of visits,PollinationMetric,PollinationValue
Chirila_etal_2026,Lima.bean,Apis.mellifera,0,Seed.set,1
Chirila_etal_2026,Lima.bean,Apis.mellifera,1,Seed.set,3
Chirila_etal_2026,Lima.bean,Apis.mellifera,3,Seed.set,1
Chirila_etal_2026,Lima.bean,Apis.mellifera,1,Seed.set,0
Chirila_etal_2026,Lima.bean,Apis.mellifera,2,Seed.set,0
Chirila_etal_2026,Lima.bean,Apis.mellifera,0,Seed.set,1
Chirila_etal_2026,Lima.bean,Apis.mellifera,5,Seed.set,0
Chirila_etal_2026,Lima.bean,Apis.mellifera,3,Seed.set,0
Chirila_etal_2026,Lima.bean,Apis.mellifera,2,Seed.set,0
Chirila_etal_2026,Lima.bean,Apis.mellifera,3,Seed.set,0
Chirila_etal_2026,Lima.bean,Apis.mellifera,2,Seed.set,0
Chirila_etal_2026,Lima.bean,Apis.mellifera,1,Seed.set,0
Chirila_etal_2026,Lima.bean,Apis.mellifera,4,Seed.set,0
Chirila_etal_2026,Lima.bean,Apis.mellifera,1,Seed.set,0
Chirila_etal_2026,Lima.bean,Apis.mellifera,3,Seed.set,0
Chirila_etal_2026,Lima.bean,Apis.mellifera,1,Seed.set,0
Chirila_etal_2026,Lima.bean,Apis.mellifera,4,Seed.set,0
Chirila_etal_2026,Lima.bean,Apis.mellifera,3,Seed.set,0
Chirila_etal_2026,Lima.bean,Apis.mellifera,2,Seed.set,0
Kandori_etal_2024,Strawberry,Andrena.spp,10,Seed.set,146
Kandori_etal_2024,Strawberry,Andrena.spp,10,Seed.set,204
Kandori_etal_2024,Strawberry,Andrena.spp,10,Seed.set,156
Kandori_etal_2024,Strawberry,Andrena.spp,10,Seed.set,171
Kandori_etal_2024,Strawberry,Andrena.spp,10,Seed.set,182
Kandori_etal_2024,Strawberry,Andrena.spp,9,Seed.set,192
Kandori_etal_2024,Strawberry,Andrena.spp,9,Seed.set,177
Kandori_etal_2024,Strawberry,Andrena.spp,8,Seed.set,230
Kandori_etal_2024,Strawberry,Andrena.spp,8,Seed.set,19
Kandori_etal_2024,Strawberry,Andrena.spp,8,Seed.set,224
Kandori_etal_2024,Strawberry,Andrena.spp,7,Seed.set,154
Kandori_etal_2024,Strawberry,Andrena.spp,7,Seed.set,143
Kandori_etal_2024,Strawberry,Andrena.spp,6,Seed.set,183
Kandori_etal_2024,Strawberry,Andrena.spp,6,Seed.set,125
Kandori_etal_2024,Strawberry,Andrena.spp,6,Seed.set,136
Kandori_etal_2024,Strawberry,Andrena.spp,6,Seed.set,43
Kandori_etal_2024,Strawberry,Andrena.spp,6,Seed.set,109
Kandori_etal_2024,Strawberry,Andrena.spp,6,Seed.set,113
Kandori_etal_2024,Strawberry,Andrena.spp,5,Seed.set,132
Kandori_etal_2024,Strawberry,Andrena.spp,5,Seed.set,143
Kandori_etal_2024,Strawberry,Andrena.spp,5,Seed.set,158
Kandori_etal_2024,Strawberry,Andrena.spp,4,Seed.set,83
Kandori_etal_2024,Strawberry,Andrena.spp,4,Seed.set,98
Kandori_etal_2024,Strawberry,Andrena.spp,3,Seed.set,235
Kandori_etal_2024,Strawberry,Andrena.spp,3,Seed.set,65
Kandori_etal_2024,Strawberry,Andrena.spp,3,Seed.set,177
Kandori_etal_2024,Strawberry,Andrena.spp,2,Seed.set,68
Kandori_etal_2024,Strawberry,Andrena.spp,2,Seed.set,119
Kandori_etal_2024,Strawberry,Andrena.spp,2,Seed.set,33
Kandori_etal_2024,Strawberry,Andrena.spp,2,Seed.set,178
Kandori_etal_2024,Strawberry,Andrena.spp,1,Seed.set,25
Kandori_etal_2024,Strawberry,Andrena.spp,1,Seed.set,14
Kandori_etal_2024,Strawberry,Andrena.spp,1,Seed.set,20
Kandori_etal_2024,Strawberry,Andrena.spp,1,Seed.set,25
Kandori_etal_2024,Strawberry,Andrena.spp,1,Seed.set,37
Kandori_etal_2024,Strawberry,Andrena.spp,1,Seed.set,20
Kandori_etal_2024,Strawberry,Andrena.spp,1,Seed.set,25
Kandori_etal_2024,Strawberry,Andrena.spp,1,Seed.set,125
Kandori_etal_2024,Strawberry,Andrena.spp,0,Seed.set,135
Kandori_etal_2024,Strawberry,Andrena.spp,0,Seed.set,45
Kandori_etal_2024,Strawberry,Andrena.spp,0,Seed.set,5
Kandori_etal_2024,Strawberry,Andrena.spp,0,Seed.set,53
Kandori_etal_2024,Strawberry,Andrena.spp,0,Seed.set,48
Kandori_etal_2024,Strawberry,Andrena.spp,0,Seed.set,75
Kandori_etal_2024,Strawberry,Andrena.spp,0,Seed.set,99
Kandori_etal_2024,Strawberry,Andrena.spp,0,Seed.set,57
Kandori_etal_2024,Strawberry,Andrena.spp,0,Seed.set,9
Kandori_etal_2024,Strawberry,Andrena.spp,0,Seed.set,32
Kandori_etal_2024,Strawberry,Andrena.spp,0,Seed.set,37
Kandori_etal_2024,Strawberry,Apis.mellifera,10,Seed.set,209
